,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
6252,26.2,2.0,2.0,2.0,6055.0,6.0,4.0,2022.0,10.74240684452247,106.68339053567487,73009.0,0.0534003669794765,26.0,0.0,2.8
1494,73.0,0.0,2.0,2.0,1603.0,4.0,1.0,2023.0,10.7440413,106.6729433,73009.0,6.703364614323671e-05,30.0,0.0,2.35
16062,63.0,3.0,4.0,2.0,7401.0,5.0,2.0,2023.0,21.0713761,105.7943322,10206.0,9.99999999995449e-06,30.0,1.0,6.8
33883,200.0,4.0,4.0,2.0,7311.0,5.0,4.0,2019.0,21.0156301,105.94621840000002,8443.0,0.0534061638818951,26.0,1.0,8.9
9301,97.0,0.0,3.0,2.0,2456.0,6.0,3.0,2021.0,21.0390218,105.9078403,8443.0,0.0534061638818951,26.0,1.0,3.0
20160,38.0,3.0,3.0,3.0,3685.0,3.0,2.0,2019.0,21.016,105.8036,11513.0,0.3222802256618625,30.0,1.0,5.3
8936,85.0,0.0,3.0,2.0,5613.0,3.0,3.0,2022.0,21.0105633,105.7994223,10055.0,0.0534061638818951,26.0,1.0,3.8
11843,49.0,0.0,1.0,1.0,3811.0,6.0,1.0,2022.0,21.0435884,105.8719571,10147.0,7.283054856179167e-05,30.0,1.0,1.9
35912,73.0,4.0,4.0,2.0,7130.0,3.0,3.0,2021.0,21.0164891,105.8227091,10265.0,0.0534061638818951,26.0,1.0,16.5
16321,35.0,3.0,3.0,4.0,5413.0,3.0,1.0,2023.0,21.0458535,105.8132389,10062.0,0.0534061638818951,26.0,1.0,4.0
21662,60.0,3.0,1.0,1.0,3638.0,3.0,2.0,2019.0,20.98358,105.84776,11617.0,0.0534061638818951,26.0,1.0,4.95
14033,117.0,0.0,2.0,2.0,4832.0,6.0,2.0,2022.0,21.029477942461348,105.77888636931156,10085.0,7.283054856179167e-05,30.0,1.0,5.1
16381,48.0,3.0,4.0,2.0,2200.0,3.0,1.0,2023.0,21.0250532,105.8271745,10178.0,0.0534061638818951,26.0,1.0,7.35
25544,86.0,2.0,4.0,2.0,6420.0,5.0,2.0,2019.0,21.02324,105.79474,10079.0,7.283054856179167e-05,30.0,1.0,24.5
11611,69.0,0.0,2.0,2.0,6829.0,6.0,2.0,2022.0,21.0843227,105.7875586,11909.0,0.0534061638818951,26.0,1.0,3.8
31938,90.0,4.0,4.0,2.0,1972.0,3.0,2.0,2021.0,21.0248731,105.8169021,10265.0,7.283054856179167e-05,30.0,1.0,17.0
13391,109.0,0.0,3.0,2.0,6365.0,5.0,4.0,2020.0,21.0811211,105.8180306,10206.0,0.0534061638818951,26.0,1.0,5.1
25308,54.0,2.0,4.0,2.0,3335.0,5.0,1.0,2020.0,20.9511687,105.7914707,10156.0,0.0534061638818951,26.0,1.0,0.9
22177,35.0,3.0,4.0,4.0,2655.0,3.0,2.0,2020.0,21.0030438,105.8282959,10306.0,0.0400728305485618,27.0,1.0,4.1
18208,45.0,3.0,4.0,2.0,2846.0,5.0,4.0,2020.0,21.0029863,105.865675,11622.0,7.283054856179167e-05,30.0,1.0,7.2
33813,225.0,4.0,5.0,4.0,4902.0,6.0,1.0,2020.0,21.061089135924064,105.49553957672116,10000.0,0.0534061638818951,26.0,1.0,4.5
33899,120.0,4.0,4.0,2.0,5726.0,5.0,4.0,2019.0,21.0362368,105.79058250000004,10141.0,0.0534061638818951,26.0,1.0,20.0
21136,45.0,3.0,4.0,2.0,2342.0,3.0,2.0,2019.0,21.01574,105.8122,10167.0,7.283054856179167e-05,30.0,1.0,3.7
7949,49.5,2.0,1.0,1.0,4546.0,6.0,3.0,2022.0,10.78248,106.6360479,72012.0,6.703364614323671e-05,30.0,0.0,4.5
32991,130.0,4.0,4.0,4.0,6452.0,3.0,3.0,2021.0,20.9681038,105.7967674,10162.0,7.283054856179167e-05,30.0,1.0,12.68
10662,107.0,0.0,4.0,2.0,6376.0,5.0,3.0,2024.0,21.0634093,105.7952744,10264.0,0.0534061638818951,26.0,1.0,5.9
